site	mechanism	target-does	tag-text
src/t_esp/db_port.cpp:848	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (AROUND form) -- the target's parent/else arms recompute `pModel + i*0x644` from
src/t_esp/db_port.cpp:871	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the pScr block's `&EvtDebug` is a REG_EQUIV symbol pseudo the original never allocated
src/t_esp/db_port.cpp:1472	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (the original never allocates the REG_EQUIV `high` pseudo, so the table address
src/t_esp/db_port.cpp:2071	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (cse skip-block knowledge: the original reloads 0.2 from the pool)
src/pl0f/pl0f.cpp:2568	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- single-use constant set in another block: update_equiv_regs moves the
src/wep/pl_shotgun.cpp:438	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13: the original never allocates the REG_EQUIV 0.0 pseudo; reload
src/wep/pl_shotgun.cpp:442	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/t_esp/t_esp.cpp:288	other		the target's window pointers have no alias base (their `pa = p; win = NULL` stores chain before the
src/t_esp/t_esp.cpp:297	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate (cse1 hash-table flush position): cse.c cse_basic_block empties its table every 1001 insns of
src/t_esp/t_esp.cpp:5342	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse table size): 118 dead sets, deleted by flow1 but counted by gcse.
src/t_esp/db_widget.cpp:56	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the target issues base.x/id last (source order) although fz/iz die there; the keep-alive is
src/t_esp/db_widget.cpp:700	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (the original allocates `ret` to the return register first and copies
src/t_esp/db_widget.cpp:890	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order): four sched1-only anchors. Each is a
src/t_esp/db_widget.cpp:1016	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the original stores its REG_EQUIV constants as constants: the block
src/t_esp/db_widget.cpp:1780	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	#6 resolved)
src/em27/em27.cpp:93	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (int shape): the EstSet stack zero is a function-scope constant with one
src/em21/em21.cpp:95	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em21/em21.cpp:170	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (cse related-value): `cam = &em21_trap_cam` after the `&em21_trap_cam.param.pos/at`
src/em21/em21.cpp:990	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12
src/em21/em21.cpp:1107	other		tagged tie lever): the refs inside count twice, so tp
src/em25/em25.cpp:191	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (AROUND form; r104 execEvent00 family) -- the original's cse forgets
src/em10/em10.cpp:18908	fpr-pin	FPR choice	candidate #14 (sched1 rank of `lwz bin` vs the byte compare)
src/em26/em26.cpp:299	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1
src/st2/r207.cpp:450	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the `pSUB = NULL` zero is a reload-rematerialised constant in the original
src/st2/r207.cpp:544	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	#6
src/st2/r207.cpp:554	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	#6 (see case 0)
src/st2/r22c.cpp:666	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	6 shape): the jump reproduces it.
src/st2/r22c.cpp:1723	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (see below)
src/st2/r22c.cpp:1733	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 -- the original allocates `score` to r28 although r31 is free,
src/st2/r200.cpp:270	temp-slot-merge	frame temp slots merged/not merged	11 -- a 16-byte `ang` makes the merged free slot of the first block (12 + 16 = 28)
src/tools/db_light.cpp:304	aggregate-view	struct-return-like address / by-value aggregate view	candidate #18 (by-value aggregate view): under the V4 ABI a by-value GXColor is passed
src/tools/db_light.cpp:678	narrow-truncate	no int->u16/u8 truncation at a call or narrow return; masks a u8-returning call assigned to u16	#4 (reverse): the original stores `i + 6` into a narrow local as a plain `mr r30, r0` (no
src/tools/db_light.cpp:689	narrow-truncate	no int->u16/u8 truncation at a call or narrow return; masks a u8-returning call assigned to u16	4 (unmasked narrow store, see `line`)
src/tools/db_light.cpp:1664	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 -- the original zero-extends the u8 `col` once before this arm's two
src/tools/db_light.cpp:3075	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	2 + #17: the original's colour lives in r5 (a copy preference ours never gets)
src/tools/db_light.cpp:4828	aggregate-view	struct-return-like address / by-value aggregate view	candidate #18 (by-value aggregate view): the swatch's 4-byte temp at frame \
src/tools/db_light.cpp:4887	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (gcse cprop): the target keeps `li r30,10` and `li r3,80`
src/tools/db_light.cpp:5544	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	5 (the original's interblock scheduler hoists Draw_corn2's `mr r3/r4` above
src/em39/em39.cpp:671	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the original never allocates its REG_EQUIV constants: the shared literal
src/em39/em39.cpp:856	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em39/em39.cpp:2577	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 -- the target's `fmuls f12,f0,f12` ties the product to the constant's
src/em39/em39.cpp:2656	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 -- both arms: the product is tied to the constant's register
src/em39/em39.cpp:2681	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 (see the other arm)
src/em39/em39.cpp:2696	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 -- the `li r0,1` precedes the four stores: with the values kept alive
src/em39/em39.cpp:2703	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13
src/em39/em39.cpp:2723	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1 -- the limit constant reaches the call as a dying pseudo (the original's
src/em39/em39.cpp:3020	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (cse2 canonical register)
src/em39/em39.cpp:4367	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (dying stores issued in source order)
src/em39/em39.cpp:6435	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (global-alloc priority order) -- the target allocates the four
src/em39/em39.cpp:6444	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/em39/em39.cpp:6453	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/em39/em39.cpp:6474	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/em39/em39.cpp:6481	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 -- two refs for the PRE'd &em->pos
src/em39/em39.cpp:6543	rodata-copies	duplicated .rodata entries	candidate #10 (unreferenced constant-pool entries kept).
src/em39/em39.cpp:7287	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 (u16 argument masked at the calls)
src/em39/em39.cpp:7288	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2
src/em39/em39.cpp:8390	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- w kept live past its last store (see the asm below)
src/em39/em39.cpp:8406	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- neither the zero nor w dies at its last store in the original (pure source order)
src/st2/r204.cpp:391	other		the `const f32` locals are declared after the flag write / inside the loop body and the
src/st2/r204.cpp:788	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (`mdl` r30 pin): global-alloc excludes r30 for `mdl` (target r30,
src/st2/r204.cpp:790	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick, `rp` below): `addi r4,mdl,0xa0` must be computed from
src/st2/r204.cpp:796	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse PRE pseudo numbering) -- the 21 dead `f32 lcN` locals at the top of
src/st2/r204.cpp:818	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 */                                        \
src/st2/r204.cpp:889	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (codeless, see above) */                            \
src/st2/r204.cpp:924	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse PRE pseudo numbering): 21 dead pool labels, see CHANDELIER */
src/st2/r202.cpp:795	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	#3 (dead test as a gcse block boundary). The after-loop `lwz work` x9 read the PRE
src/st2/r202.cpp:1028	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (local-alloc qty order): the original's sched1 issued the
src/st2/r202.cpp:1079	loop-exit-form	peeled FP loop exit test (source form)	#7/#9, both closed as source forms): the exit store on
src/tools/t_sce_at.cpp:748	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:749	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:750	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:751	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:752	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:753	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:754	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:755	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:756	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/tools/t_sce_at.cpp:774	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (ends the cse1 path from bb0; sched region split)
src/st2/r203.cpp:278	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/st2/r203.cpp:279	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/t_camera/t_camera.cpp:1059	other		tie -- the phony do-while doubles the body's REG_N_REFS (the pt pointer giv then takes
src/t_camera/t_camera.cpp:2012	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	5 (sched2 tie: call-result copy vs compare)
src/t_camera/t_camera.cpp:2693	aggregate-view	struct-return-like address / by-value aggregate view	candidate #18 (struct-return-like address in r3 before a no-argument call)
src/t_camera/t_camera.cpp:2714	aggregate-view	struct-return-like address / by-value aggregate view	candidate #18 (struct-return-like address in r3 before a no-argument call)
src/st2/r226.cpp:142	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	1 -- the original's prologue copies `fmr f31,f1` before `mr r28,r6` (FP parameter copy
src/st2/r226.cpp:480	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 -- the LOOP_END note ends cse1's AROUND path so the 0.0 below is
src/st2/r226.cpp:604	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	2 -- the original sign-/zero-extends the narrow locals here (`extsb`, `clrlwi 24`)
src/Tools/t_mv.cpp:112	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (fallthrough-arm form). The original's then arm has its own `li r10,0`
src/st1/r11d.cpp:419	loop-entry-rotation	rotated loop entry (source form)	candidate #9
src/st2/r201.cpp:1081	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- loop.c hoists the invariant `on != 1` compare into a CC pseudo (mfcr/mtcrf
src/tools/db_sctrl.cpp:197	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse PRE pseudo numbering)
src/tools/db_sctrl.cpp:381	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (FLOAT_EXTEND argument preference)
src/tools/db_sctrl.cpp:390	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (region split)
src/tools/db_sctrl.cpp:501	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (free sched slot filler)
src/tools/db_sctrl.cpp:518	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (REG_EQUIV live-length doubling of a hoisted high)
src/st2/r213.cpp:859	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (the 1.5707964 store below is reloaded, not the loop's hoisted register)
src/st2/r213.cpp:899	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 -- dead test (o41 is not read again; jump2 deletes the
src/st2/r225.cpp:194	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched2 issue-slot filler). The target's block 0 leaves the second
src/st2/r225.cpp:247	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse table size / global-alloc tie window). Three dead tests
src/st2/r225.cpp:300	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (loop.c pass-2 threshold). The 2^52 conversion magic must
